,countyFIPS,pop_density,population,area,County Name,State,StateFIPS,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30
0,1001,92.42336515078827,55869,604.49,Autauga County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,3,0,2,0,0,0,0,0,5,0,2,0,0,4,2,0,0,0,2,1,2,2,1,3,1,0,2,1,2,0,0,3,3,5,0,5,3,6,1,6,10,7,2,10,0,7,0,10,7,9,11,2,6,4,14,16,3,13,7,4,4,13,5,1,2,7,11,6,7,10,13,17,11,8,26,11,5,2,25,11,20,3,8,11,16,10,9,10,5,24,10
1,1003,110.12589537660082,223234,2027.08,Baldwin County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,5,5,3,1,4,2,3,1,5,4,4,7,10,0,7,5,7,9,11,4,1,6,5,3,6,9,11,4,7,7,7,3,2,1,1,6,6,1,1,7,9,3,8,6,2,3,4,12,1,10,0,6,2,8,0,1,2,1,2,1,4,0,1,1,5,4,0,0,1,3,8,9,7,5,6,12,10,8,3,19,6,3,9,12,7,10,7,13,14,13,38,40,20,68,37
2,1005,27.289711360948054,24686,904.59,Barbour County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,2,1,0,0,1,2,1,1,3,2,2,6,1,1,2,1,0,2,2,0,2,3,1,2,0,2,0,4,2,5,1,2,6,2,5,5,0,2,4,5,6,4,4,1,5,6,6,8,2,15,3,14,8,3,2,0,6,7,3,4,2,9,6,7,5,8,4,7,6,12,3,6,0,5,3,8,17,7,5,0,5,3
3,1007,35.8017585931255,22394,625.5,Bibb County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,1,1,2,0,2,3,1,0,2,4,0,3,2,4,0,1,0,1,1,3,4,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,0,0,1,1,0,3,3,1,3,4,5,0,0,1,3,1,0,0,0,0,1,0,2,6,4,4,4,3,4,7,5,2,3,5,0,1,2,6,6,8,4,8,1,3,5
4,1009,88.87420272035656,57826,650.65,Blount County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,1,2,1,1,1,2,0,1,1,4,3,2,0,0,3,0,0,2,1,2,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,2,5,2,1,1,1,0,0,0,1,6,2,1,2,4,8,8,7,8,6,5,2,7,9,4,6,4,6,9,8,8,4,1,10,9
5,1011,16.132947884557026,10101,626.11,Bullock County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,1,1,3,0,2,0,4,3,0,5,12,12,7,18,16,6,30,26,9,9,16,2,6,0,3,3,2,2,6,7,6,5,5,5,5,18,26,5,3,3,7,0,7,0,1,1,7,15,0,7,0,7,0
6,1013,24.997750613761102,19448,777.99,Butler County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,3,0,2,0,1,0,1,2,2,2,7,4,2,11,6,2,12,27,13,9,6,10,25,7,16,11,7,28,6,19,9,13,1,13,10,17,9,8,6,9,24,12,11,1,4,6,8,4,2,3,2,10,11,7,6,9,7,13,15,18,19,8,7,3,12,3,3,4,2,3,3,4,6,6,2,3,2
7,1015,185.52298522087042,113605,612.35,Calhoun County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,2,1,8,1,3,14,10,4,2,0,3,3,1,1,0,1,0,3,6,8,3,2,3,1,1,0,0,2,1,0,0,5,7,0,9,0,6,3,1,0,1,1,1,1,1,1,0,3,0,3,0,1,1,3,6,3,2,0,1,1,3,7,1,0,2,2,5,2,2,2,2,2,4,2,5,9,2,2,2,0,1,2,2,1,4,13,3,9,0,24,7
8,1017,55.13388046091354,33254,603.15,Chambers County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,3,2,2,10,9,0,9,22,14,6,3,6,6,38,21,10,13,16,12,4,11,7,2,4,6,11,2,11,5,7,2,1,4,1,0,0,0,4,6,2,2,2,2,3,3,2,3,5,0,2,0,2,0,1,0,1,0,0,0,6,1,1,2,9,3,1,2,3,0,1,1,3,10,5,5,8,10,16,10,11,15,22,10,1,15,6,9,5,7,6,9,6,10,2,0,24,5
9,1019,43.66,26196,600.0,Cherokee County ,AL,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,3,1,0,2,0,0,1,1,1,0,1,1,1,1,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,2,2,0,0,0,0,4,1,4,2,0,0,2,3,0,0,0,0,0,6,4,1,1,3,1
